Kommun;Född i Sverige/Män;Utrikes född/Män;Född i Sverige/Kvinna;Utrikes född/Kvinnor;Folkmängd
0114 Upplands Väsby;99;43;131;32;49262
0115 Vallentuna;103;18;95;10;34851
0117 Österåker;176;24;154;28;49138
0120 Värmdö;132;30;124;28;46457
0123 Järfälla;211;76;236;81;85460
0125 Ekerö;85;6;87;10;29123
0126 Huddinge;233;86;232;93;114504
0127 Botkyrka;186;133;142;115;95383
0128 Salem;49;5;48;9;17352
0136 Haninge;254;84;220;78;97683
0138 Tyresö;163;27;146;38;49214
0139 Upplands-Bro;75;28;64;17;31853
0140 Nykvarn;37;6;23;5;11664
0160 Täby;224;50;237;61;75137
0162 Danderyd;109;13;123;26;32692
0163 Sollentuna;207;48;185;51;76237
0180 Stockholm;2337;601;2558;700;984748
0181 Södertälje;213;138;236;121;102426
0182 Nacka;265;77;274;76;109486
0183 Sundbyberg;122;25;134;32;54070
0184 Solna;197;46;249;63;85450
0186 Lidingö;148;41;148;30;48432
0187 Vaxholm;36;4;32;3;11899
0188 Norrtälje;365;42;288;53;65587
0191 Sigtuna;138;48;99;27;51876
0192 Nynäshamn;128;18;120;13;30043
0305 Håbo;67;13;72;16;22765
0319 Älvkarleby;49;6;49;3;9625
0330 Knivsta;54;7;49;7;20133
0331 Heby;61;7;64;6;14421
0360 Tierp;128;11;109;5;21406
0380 Uppsala;686;116;699;116;242140
0381 Enköping;220;19;169;25;47848
0382 Östhammar;137;9;118;9;22344
0428 Vingåker;44;6;36;15;8981
0461 Gnesta;50;10;44;2;11612
0480 Nyköping;271;27;255;43;58021
0481 Oxelösund;74;11;60;21;12086
0482 Flen;101;16;89;11;16058
0483 Katrineholm;193;15;179;13;34604
0484 Eskilstuna;373;119;387;119;107918
0486 Strängnäs;170;21;146;30;38526
0488 Trosa;73;10;56;10;14760
0509 Ödeshög;22;2;25;0;5317
0512 Ydre;26;3;21;0;3683
0513 Kinda;51;3;68;0;10068
0560 Boxholm;42;3;30;2;5498
0561 Åtvidaberg;88;6;53;3;11506
0562 Finspång;128;15;111;8;21903
0563 Valdemarsvik;39;5;57;3;7630
0580 Linköping;558;53;579;58;166673
0581 Norrköping;578;100;580;91;145120
0582 Söderköping;66;4;72;5;14834
0583 Motala;171;25;193;31;43728
0584 Vadstena;66;2;63;3;7481
0586 Mjölby;133;7;106;10;28471
0604 Aneby;39;2;20;2;6824
0617 Gnosjö;28;10;36;7;9438
0642 Mullsjö;41;2;29;3;7532
0643 Habo;37;1;30;0;13128
0662 Gislaved;102;20;121;24;29481
0665 Vaggeryd;61;7;67;12;14854
0680 Jönköping;471;70;532;79;145114
0682 Nässjö;155;13;160;10;31944
0683 Värnamo;138;33;132;22;34692
0684 Sävsjö;62;7;55;5;11771
0685 Vetlanda;146;14;131;15;27673
0686 Eksjö;100;9;93;10;17858
0687 Tranås;111;5;105;7;18804
0760 Uppvidinge;47;10;50;8;9418
0761 Lessebo;29;4;31;8;8485
0763 Tingsryd;97;7;79;5;12297
0764 Alvesta;87;14;90;9;20257
0765 Älmhult;61;12;91;8;18092
0767 Markaryd;40;13;54;9;10166
0780 Växjö;303;47;323;38;97137
0781 Ljungby;139;19;152;16;28483
0821 Högsby;40;7;33;4;5584
0834 Torsås;51;2;48;1;7042
0840 Mörbylånga;71;6;67;5;15985
0860 Hultsfred;94;11;74;5;14064
0861 Mönsterås;64;6;67;6;13276
0862 Emmaboda;43;2;61;4;9347
0880 Kalmar;317;27;274;21;72018
0881 Nybro;123;14;110;14;20303
0882 Oskarshamn;156;14;136;11;27028
0883 Västervik;225;10;225;10;36650
0884 Vimmerby;92;5;91;5;15557
0885 Borgholm;76;7;72;7;10857
0980 Gotland;325;17;267;17;61173
1060 Olofström;72;26;69;19;13159
1080 Karlskrona;302;20;307;25;66682
1081 Ronneby;164;11;163;7;29169
1082 Karlshamn;201;10;201;17;32216
1083 Sölvesborg;99;10;106;1;17514
1214 Svalöv;54;4;39;5;14466
1230 Staffanstorp;106;9;97;12;26778
1231 Burlöv;55;21;65;22;19882
1233 Vellinge;145;10;152;16;37821
